model,runs,test_f1_macro_mean,test_f1_macro_std,test_accuracy_mean,test_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,training_elapsed_seconds_mean,training_elapsed_seconds_std,parameters_total,parameters_trainable,device_name
logreg,3,0.7457382301872924,0.03543331825438351,0.7540680113027379,0.03831111550435628,0.7595205857067376,0.0283516978017171,247.18067044366668,91.35027483019029,98312,98312,Tesla T4
cnn,3,0.9761021255687219,0.007487281922440966,0.9769073370359544,0.006529759691227333,0.9754610241986035,0.007459005204407318,301.88296436099995,63.56419238354908,288488,288488,Tesla T4
resnet18,3,0.9818721150334287,0.003238231580001725,0.9808048328948651,0.0032065639037132123,0.9811154045296179,0.003187974242357457,254.7008273103332,91.02456728674163,11180616,11180616,Tesla T4
